address,balance,lifetime,tx_in,tx_out,investment_in,payment_out,investment_to_contract/tx_in,payment_from_contract/tx_out,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,known_rate,owner_gets_eth_Wo_investing,owner_gets_eth_investing,owner_no_eth,target,skew_v1,skew_v2,N_maxpayment
0x1cad99dc4770146e95d17307a4df427c7c73827c,0.003,0,5,2,4,2,0.8,1.0,3,2,-0.5,0.866025,-0.00075,0.000456,0.5,0.3333,1.0,0.0,1.0,0.0,1.0,1,0,0,1,2.0,1.992258,1
0x1d6907245c30e7ddab42dc42523e97687c149345,0.01,0,2,0,1,0,0.5,0.0,1,0,-1.0,0.0,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x39de05db56c42041f1c378c72ddd0161ef91070b,0.0,0,25,2,4,2,0.16,1.0,1,1,-2.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0,1,0.0,0.0,2
0x1fb8d1159ba0fe9e237d5a9f8810d783500ab471,0.001,0,5,0,1,0,0.2,0.0,1,0,-1.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x53e523b0207c0987af44aed9c09c4d3e59e7db9a,0.003,3,9,0,3,0,0.3333,0.0,2,0,-1.5,0.5,-0.0015,0.0005,0.0,0.0,0.6667,3.5,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x20442f9439c874c02e8451e03d6235ee27ee3afe,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x213d2b0498d7eef3151aa9af2e5c4eb8674ecce5,0.0,169,189,2,2,2,0.0106,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0118,90.5,0.0059,0.0,1.0,0,1,0,1,0.0,0.0,2
0x21e3a126b222be9196c8f826d9f9679ee26bbae7,0.0,218,221,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,108.5,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x502b3fce17009ea60269d2553553447e74f88445,0.0,217,220,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,109.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0xc998f7ab8949ed3d807d54b079e4c6a9878c74ab,0.0,218,222,1,1,1,0.0045,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0092,108.0,0.0046,0.0,1.0,0,0,1,1,0.0,0.0,1
0x810a49b3ca004243044444fd7380d9d8e22e3875,0.0,218,223,2,2,2,0.009,1.0,2,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0092,107.5,0.0046,0.0,1.0,0,0,1,1,0.0,0.0,1
0xba8ee7ba243a363d1995812121bc3fdfa6052785,0.15,218,222,0,1,0,0.0045,0.0,1,0,-1.0,0.0,-0.15,0.0,0.0,0.0,0.0092,108.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x23e2134cbdd5b80f16300454d72a523cb7d1a886,0.0,0,3,9,2,9,0.6667,1.0,2,4,1.75,0.433013,0.0,9.7e-05,4.5,1.0,1.0,0.0,1.0,0.0,0.25,0,1,0,1,-2.0,-1.456943,3
0x243ce58ad1d2996399b0c110f013901d2f50243f,0.0,2,301,762,299,762,0.9934,1.0,78,40,5.935897,35.945949,-0.0,2.28147,2.5485,0.5128,1.5,86.734589,1.5,240.105532,1.0,0,1,0,1,7.436114,1.320463,302
0x258e30f1ff095f738545ac72d3009d94cef2e8b3,0.0,42,5,2,3,2,0.6,1.0,2,2,-0.5,0.5,0.0,0.0097,0.6667,1.0,0.0476,0.5,0.0238,0.0,1.0,0,1,0,1,0.0,0.0,1
0x25cdfe617d58f348d10d8efc6d61032ed1e1ce7a,0.0,179,197,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,97.5,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x27705979b6f4d3b497f62240a6ae11ae535a49df,0.0,5,1048,2,2,2,0.0019,1.0,2,2,0.0,0.0,0.0,0.0,1.0,1.0,1.2,49.374982,0.2,0.0,1.0,0,1,0,1,0.0,0.0,1
0x27c0afc960fbeab1c6bba6be3837d40e948b2250,0.0,214,234,6,7,6,0.0299,1.0,3,4,-0.25,1.47902,0.0,0.309597,0.8571,1.0,0.014,103.289238,0.0093,1.0,1.0,1,0,0,1,0.752837,-0.245845,2
0x1107bd232640434008b8ce1fd058837e141f754b,0.0,214,231,4,4,4,0.0173,1.0,3,3,0.0,1.0,0.0,0.136931,1.0,0.6667,0.014,103.951912,0.0093,0.0,1.0,1,0,0,1,0.0,0.632456,2
0xa2c5718723161f48fe1be09bee40a8fa347df520,0.0255,57,48,42,44,42,0.9167,1.0,14,14,-0.133333,0.498888,-0.0017,0.026971,0.9545,0.9286,0.3509,1.714643,0.3509,1.135782,1.0,1,0,0,1,-0.281962,-1.667643,6
0x2c2e3baa2191cf325a28a01ff42340f2ae677572,0.0,169,417,155,216,155,0.518,1.0,31,26,-1.967742,4.934957,0.0,0.265705,0.7176,0.8387,0.142,37.96469,0.0888,12.086724,1.0,0,1,0,1,1.607106,1.155024,27
0x31e13882c45c1023d9b16c3794c1a780bb6cb88d,0.0,169,251,36,45,36,0.1793,1.0,10,10,-0.9,2.071232,0.0,1.57668,0.8,1.0,0.0533,56.177189,0.0237,5.196152,1.0,0,1,0,1,2.563999,-1.671261,12
0x2cbe1c74b77bf46a61759f3ed107b3e2612feddd,0.0,0,2,4,1,4,0.5,1.0,1,4,0.75,0.433013,0.0,0.000346,4.0,1.0,1.0,0.0,1.0,0.0,0.25,0,1,0,1,-2.0,-2.0,1
0x2cdb253c0e44a284f6174ae90b5ea247e6cf3649,0.0,1,317,574,310,574,0.9779,1.0,135,112,1.955556,4.787123,0.0,1.061734,1.8516,0.8296,2.0,156.5,2.0,286.0,1.0,0,1,0,1,5.264079,0.059213,47
0x2d6cb85e108326a8bbb72ca6f3c9f0f3c7f53638,0.0,247,6,2,1,1,0.1667,0.5,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0121,1.414214,0.0081,0.0,1.0,0,0,1,1,0.0,0.0,1
0x2dad35ca7d3e3577f5c4160f99940809a9f2ed91,0.0,4,279,748,278,748,0.9964,1.0,78,36,6.025641,32.04403,-0.0,2.409102,2.6906,0.4615,1.0,117.926619,0.75,347.662991,1.0,0,1,0,1,8.017278,-1.341005,288
0x30c16da96ffa1eee79d8a9db23b7204fed75d549,0.0,169,215,1,1,1,0.0047,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0118,105.5,0.0059,0.0,1.0,0,1,0,1,0.0,0.0,1
0x72a68fb6d91ed8dc47b564e088e518c6d4a6ff44,0.0,247,108,80,80,80,0.7407,1.0,19,43,0.0,8.798244,0.0,1976.286627,1.0,0.9474,0.1741,2.653406,0.1296,2.727178,0.4186,0,0,1,1,-3.035314,-4.163225,31
0x86a2f548baf9da7e989f5f697f339d61de259b72,0.0,0,8,9,6,8,0.75,0.8889,4,3,0.5,2.061553,0.0,1.258968,1.3333,0.75,1.0,0.0,1.0,0.0,1.0,0,1,0,1,1.779179,0.328102,6
0x349455c38122f117bc339ef2771d95938f19eaa0,0.001,0,4,0,1,0,0.25,0.0,1,0,-1.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x34f033eeaa33a941d00859106642d57b8b538e74,0.0,185,202,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,100.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x3570778f291120940119b5e4f867dab5488add4d,0.001,4,2,0,1,0,0.5,0.0,1,0,-1.0,0.0,-0.001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x36b5766f8f0b674a2b3dcb7df5fd7a5cb68c073b,3.0,0,3,0,2,0,0.6667,0.0,1,0,-2.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x37b0d8b1299c1edf07a8ee4c5c1d245f17d56e3f,0.0,0,2,2,1,2,0.5,1.0,1,2,0.5,0.5,0.0,0.003,2.0,1.0,1.0,0.0,1.0,0.0,0.5,0,0,1,1,0.0,0.0,1
0x37c443249ed98c6d3871edf5c3a44f20dac2d940,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x3d86cc838649b072510f3da56a31f30461cf66d2,0.0,1877,254,4,6,4,0.0236,1.0,5,3,-0.333333,1.105542,0.0,0.097491,0.6667,0.4,0.0016,114.805149,0.0011,0.0,1.0,1,0,0,1,1.951708,1.456942,2
0x3dc4d22741c55b40f5f2445ec4e3afb12dd14ebb,0.005,3,12,1,10,1,0.8333,1.0,7,1,-1.285714,1.160577,-0.000714,0.036492,0.1,0.1429,0.6667,4.0,0.3333,0.0,1.0,0,0,1,1,-2.103091,2.153311,1
0x3e3ee486285814cf3899b2d67a1f3176316efd66,0.0,0,6,2,4,2,0.6667,1.0,4,1,-0.5,0.866025,0.0,0.105397,0.5,0.25,1.0,0.0,1.0,0.0,1.0,0,1,0,1,2.0,1.963561,2
0x40c71e8d49d01c0eccaeebcda81d24037c556b1f,0.0,0,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x41c0542f41251d6d81526ed2dbc8f0008b13fe48,0.0,0,2,2,1,2,0.5,1.0,1,2,0.5,0.5,0.0,0.06,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0,1,0.0,0.0,1
0x42c455c7cdc8a89d8825a4335cee3524d9dc62d5,0.005,68,1652,0,1,0,0.0006,0.0,1,0,-1.0,0.0,-0.005,0.0,0.0,0.0,0.9853,5.626569,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x4364eff50d20ca13ec7ec6e9b0f7529a1f39df3c,1.0,0,3,0,1,0,0.3333,0.0,1,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x4b50c19274036a76e6cdaa992d324b07aa941022,0.1,3,2,0,1,0,0.5,0.0,1,0,-1.0,0.0,-0.1,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x4bb59d7764ca528e22a5ecaa785280986e9818ea,0.0,11,531,353,353,353,0.6648,1.0,10,11,0.0,56.483304,0.0,0.748421,1.0,1.0,1.0909,31.801795,1.0,20.128923,1.0,1,0,0,1,2.990787,-2.510711,174
0x03042094e77fb177ee0e87de9b52e2d5af816308,0.0,176,202,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,100.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x4c60e311d8fba04e313f7e7b3dec61b3028726d1,0.0,38,830,17,12,16,0.0145,0.9412,12,4,0.333333,3.543382,0.0,0.313148,1.3333,0.3333,1.0263,21.932237,0.1842,1.293626,1.0,0,0,1,1,3.376323,1.367625,13
0x4d79a3d77d1fd3deb1e466374a81f609377730eb,0.0,0,5,11,4,11,0.8,1.0,4,5,1.4,1.356466,0.0,0.002756,2.75,1.0,1.0,0.0,1.0,0.0,0.8,0,0,1,1,1.748792,-2.088271,4
0x4e21c31ff65df33ea0b7f7ec8794803f731eb239,0.0,0,5,5,3,5,0.6,1.0,2,3,0.5,1.658312,0.0,0.015132,1.6667,0.5,1.0,0.0,1.0,0.0,0.3333,0,0,1,1,0.854563,-0.24679,3
0x4e88419be4e8643d98b15f8b6cf9cf3f6ef1fbfd,0.0,0,239,649,238,649,0.9958,1.0,50,42,8.058824,35.163156,0.0,4.911873,2.7269,0.82,1.0,0.0,1.0,0.0,0.9762,0,0,1,1,5.924447,4.862149,238
0x4f9048d95616dbf7acc16fc4179f5ac6ee37bce6,0.0111,11,2,0,1,0,0.5,0.0,1,0,-1.0,0.0,-0.0111,0.0,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x4fa2bec37bb47781e56b4ddc7929f0d3bcedce33,0.0,0,23,101,22,101,0.9565,1.0,9,8,8.777778,9.052658,0.0,0.051373,4.5909,0.8889,1.0,0.0,1.0,0.0,0.625,0,0,1,1,0.561681,-0.610136,24
0x4fa1f5846f9e8b139e85b10c604b47e9314a7d0a,0.0,0,55,289,54,289,0.9818,1.0,30,24,6.911765,18.031619,0.0,1.415522,5.3519,0.6667,1.0,0.0,1.0,0.0,0.8333,0,0,1,1,2.139905,-2.008295,54
0x513f38be4561091eb6fa87ed2566b3e6c7c0169f,0.01,7,20,20,16,20,0.8,1.0,2,2,2.0,2.0,-0.005,0.129,1.25,1.0,0.8571,4.346135,0.7143,4.0,1.0,0,1,0,1,0.0,0.0,14
0x5169dbf8c7f02de1083b05d4018ef488f9c37222,0.0,1,61,277,59,277,0.9672,1.0,12,13,16.769231,23.53117,-0.0,0.041975,4.6949,1.0,2.0,11.5,2.0,51.5,0.9231,1,0,0,1,1.38214,-0.795602,69
0x53891ef3793d8534ad42312bcc77dfad51bb5f1c,0.0,215,258,26,27,26,0.1047,1.0,5,5,-0.166667,5.047001,0.0,0.311234,0.963,0.8,0.0279,81.230126,0.0186,4.555217,1.0,1,0,0,1,1.412079,-0.858422,10
0x54715db7a8a57bc9bab660eb8e7b195774cb564d,0.8717,290,204,0,7,0,0.0343,0.0,6,0,-1.166667,0.372678,-0.145283,0.137499,0.0,0.0,0.0138,83.716784,0.0,0.0,0.0,0,0,1,1,-2.44949,-0.994427,0
0x565fc7ff1633d233bf9eb2e734e7524e995cf07d,0.001,181,250,0,1,0,0.004,0.0,1,0,-1.0,0.0,-0.001,0.0,0.0,0.0,0.011,122.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x58d94584f2c091449cdc4e3e40453101ec30dfe3,0.0,0,3,5,2,5,0.6667,1.0,2,3,1.0,0.816497,0.0,0.053541,2.5,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0,1,0.0,-0.670284,2
0x5a0b071e99d6987a73ec9317601f85ee077488f6,0.0,3,7,2,2,2,0.2857,1.0,2,1,0.0,1.0,0.0,0.03,1.0,0.5,0.6667,1.5,0.3333,0.0,1.0,0,1,0,1,0.0,0.0,2
0x5a60ad57b09779adec3d760edfa59a427aa3e654,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x5aa4769f204f0b9e8d9c852377bf90fbe5bf2aeb,0.0,0,10,21,9,21,0.9,1.0,5,4,2.4,4.029888,0.0,0.355686,2.3333,0.8,1.0,0.0,1.0,0.0,0.75,0,0,1,1,1.695773,-1.514639,11
0x5ba0d60f45c3769afe2cdf7826946c8338494467,0.0,4,110,484,107,484,0.9727,1.0,60,33,5.984127,23.141039,0.0,1.741815,4.5234,0.5,0.75,46.204858,0.75,209.814733,0.9091,0,0,1,1,4.063812,0.365814,107
0x5bd7b9cd17cee4d2fae01d9695e83098cf409488,0.0,1,110,570,105,570,0.9545,1.0,63,50,6.940299,25.03483,-0.0,0.779469,5.4286,0.7302,2.0,54.0,1.0,0.0,0.92,0,0,1,1,3.642321,-0.633242,105
0x5c6b9ae7de0cbb422d4479876694ad3626b34e6e,0.0005,0,5,0,1,0,0.2,0.0,1,0,-1.0,0.0,-0.0005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x5e73b359215d5341cf1c4513f022e3c6faa8788f,0.03,0,5,2,4,2,0.8,1.0,3,1,-0.666667,0.471405,-0.01,0.0,0.5,0.3333,1.0,0.0,1.0,0.0,1.0,0,1,0,1,1.732051,0.0,2
0x6140d98c1bf9206488fc3428e2dc5496b0a23d84,0.0,170,186,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,92.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x61f6c7c9b344705736cc86627859ede5e2b8e562,0.0,0,9,6,7,6,0.7778,1.0,7,5,-0.125,0.780625,0.0,0.042509,0.8571,0.5714,1.0,0.0,1.0,0.0,1.0,1,0,0,1,0.276528,-0.084952,2
0x629b4a1dae038650bd849fb972b375861da41567,0.0,1,3,5,2,5,0.6667,1.0,2,2,1.5,0.5,0.0,0.00551,2.5,1.0,2.0,0.5,1.0,0.0,1.0,0,0,1,1,0.0,0.0,3
0x62b01d0aeb16656aff7a7632c3a61c8b069a8928,0.0,0,4,8,3,8,0.75,1.0,2,2,2.5,1.5,0.0,0.0424,2.6667,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0,1,0.0,0.0,5
0x62b0bf145927772654b17076371eafe935bf65e1,0.0,4,23,3,19,3,0.8261,1.0,18,3,-0.888889,0.31427,0.0,0.036713,0.1579,0.1667,0.75,6.798693,0.5,0.5,1.0,0,0,1,1,2.705788,4.124371,1
0x640bd81d0a049a0419971086f9773bdee7294fc5,0.0,13,4,8,3,8,0.75,1.0,2,2,2.5,2.5,0.0,0.0156,2.6667,1.0,0.2308,0.471405,0.1538,1.0,1.0,0,0,1,1,0.0,0.0,7
0x96504e1f83e380984b1d4eccc0e8b9f0559b2ad2,0.0,149,1030,532,257,532,0.2495,1.0,3,38,6.707317,37.836776,1e-06,47.490065,2.07,0.0,0.3624,78.036993,0.094,0.0,0.0789,0,0,1,1,-6.034725,-4.969866,36
0x66342e803943929dc47bca1d625f42c7c725b049,0.0,650,9,8,7,8,0.7778,1.0,5,3,0.2,1.16619,0.0,0.602912,1.1429,0.6,0.0062,2.165064,0.0062,1.732051,1.0,0,1,0,1,0.541387,-0.544388,4
0x6869b8e23b1de74aa9376ec2b5f194bb9aa08cbc,0.01,47,26,16,25,16,0.9615,1.0,8,4,-1.0,3.299832,-0.001111,0.021651,0.64,0.375,0.1915,2.131481,0.1277,0.942809,1.0,1,0,0,1,2.608913,0.687888,8
0x68d8618d9b573b7f98b028a052a82f46c49f7ffc,0.0,0,19,18,17,18,0.8947,1.0,17,14,0.055556,0.704921,0.0,0.046447,1.0588,0.7647,1.0,0.0,1.0,0.0,1.0,1,0,0,1,-0.085629,-0.058864,2
0x6a0f05d623933e179e8feed87cc73dfc95717d45,0.01,0,2,0,1,0,0.5,0.0,1,0,-1.0,0.0,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0
0x6c91c0104677d08cded353b1459b68415f278c38,0.0,1,7,32,6,32,0.8571,1.0,4,7,3.25,2.817357,0.0,0.029983,5.3333,0.75,2.0,2.5,1.0,0.0,0.5714,1,0,0,1,-0.19346,-1.343294,6
0x6cb877964e66fc227ff19e29969f6fc6a21798c2,0.0,96,1858,1816,1222,1816,0.6577,1.0,86,70,6.75,91.676959,0.0,0.489406,1.4861,0.7907,0.4896,66.601019,0.4167,68.408625,0.9714,0,0,1,1,5.986061,1.62634,594
0x6d8aeb55a5bfda9393de1301b995d3f733c5de85,0.0,0,3,5,2,5,0.6667,1.0,2,3,1.0,0.816497,0.0,0.004758,2.5,1.0,1.0,0.0,1.0,0.0,0.6667,0,1,0,1,0.0,-1.018683,2
0x6e850bf8607a37e84a489008eeb94fb19331b061,0.0,0,9,45,8,45,0.8889,1.0,6,10,3.7,3.579106,-0.0,0.329449,5.625,1.0,1.0,0.0,1.0,0.0,0.7,1,0,0,1,0.353208,-2.963742,8
